filename;rel_filepath;n_chunks;first_message;processed_at
'HAAPI_experiment_data_LMI-Shots_20260331_JHAMAL00004-19.csv';'SeeMoveShootData/HAAPI_experiment_data_LMI-Shots_20260331_JHAMAL00004-19.csv';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'HAAPI_experiment_data_Cu-Vel Shots_20260401_NA.csv';'SeeMoveShootData/HAAPI_experiment_data_Cu-Vel Shots_20260401_NA.csv';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'HAAPI_experiment_data_Cu-Kumar_v3_20260402_JHBMAB00003-S2R1C1.csv';'SeeMoveShootData/HAAPI_experiment_data_Cu-Kumar_v3_20260402_JHBMAB00003-S2R1C1.csv';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'HAAPI_experiment_data_High-ridge-height_20260402_JHBMAB00003-S2R1C2.csv';'SeeMoveShootData/HAAPI_experiment_data_High-ridge-height_20260402_JHBMAB00003-S2R1C2.csv';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'HAAPI_experiment_data_Polished-Flyer_v2_20260402_JHBMAB00003-S2R2C1.csv';'SeeMoveShootData/HAAPI_experiment_data_Polished-Flyer_v2_20260402_JHBMAB00003-S2R2C1.csv';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'before_alignment_R2_C2.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/before_alignment_R2_C2.jpg';1;'Mon Apr 06, 2026 at 17:20:18';'Mon Apr 06, 2026 at 17:20:18'
'after_alignment_R2_C2.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/after_alignment_R2_C2.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'before_alignment_R2_C3.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/before_alignment_R2_C3.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'after_alignment_R2_C5.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/after_alignment_R2_C5.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'after_alignment_R2_C6.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/after_alignment_R2_C6.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'before_alignment_R3_C6.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/before_alignment_R3_C6.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'after_alignment_R3_C6.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_17-47-07/captures/after_alignment_R3_C6.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'before_alignment_R2_C2.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-26-38/captures/before_alignment_R2_C2.jpg';1;'Mon Apr 06, 2026 at 17:20:19';'Mon Apr 06, 2026 at 17:20:19'
'before_alignment_R2_C3.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-26-38/captures/before_alignment_R2_C3.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R2_C4.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-26-38/captures/before_alignment_R2_C4.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R2_C2.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-29-21/captures/before_alignment_R2_C2.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R2_C3.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-29-21/captures/before_alignment_R2_C3.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R2_C4.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-29-21/captures/before_alignment_R2_C4.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'after_alignment_R2_C5.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-31-24/captures/after_alignment_R2_C5.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R2_C6.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-31-24/captures/before_alignment_R2_C6.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
'before_alignment_R3_C4.jpg';'TEST00_000000000000000000000000_1_1_2026-04-02_18-31-24/captures/before_alignment_R3_C4.jpg';1;'Mon Apr 06, 2026 at 17:20:20';'Mon Apr 06, 2026 at 17:20:20'
